,0,1
1110004E09Rik,1.9048336935043335,1.8202257692813872
1500015A07Rik,0.9488513511419296,0.8534772765636444
1700012B09Rik,5.706676092147827,5.185757927894592
1700017B05Rik,1.1123629653453826,1.068905781507492
1700097N02Rik,0.3373074355721474,0.1889390629529953
2010001K21Rik,0.10858497865498067,0.10239366292953492
2010204K13Rik,1.4886946725845336,1.5219633495807647
2010300C02Rik,0.15090604573488237,0.17499679937958718
2310040G24Rik,0.8831685250997543,0.8096578657627106
2410004P03Rik,1.4005038416385651,1.3725705707073212
2610037D02Rik,1.189051742553711,1.3577035176753998
2810001G20Rik,1.7406823897361756,1.6840070152282716
2810468N07Rik,0.42971571266651154,0.4494660973548889
2900079G21Rik,0.20633668303489686,0.13284282892942428
2900093K20Rik,1.0838463747501372,0.9661389654874801
3632451O06Rik,1.4599679958820344,1.4557868731021881
4930515B02Rik,0.3606166899204254,0.28128408670425414
4930570G19Rik,0.7710129690170288,0.8199260616302491
4930581F22Rik,1.3403013920783997,1.3494644963741302
4932412D23Rik,0.4071068811416626,0.5264035764336586
4932441J04Rik,0.3130036699771881,0.34283752530813216
5031439G07Rik,0.6696022874116898,0.7526573991775513
5330413P13Rik,1.5627536797523498,1.5333911991119384
5330434G04Rik,0.3163526949286461,0.4218437245488167
5330438D12Rik,1.0273063951730728,0.8894099199771881
5530401A14Rik,0.07237187054008246,0.0731255104765296
5730403I07Rik,2.1580895471572874,2.5791559338569643
6430500D05Rik,1.0938324308395386,1.2661574351787568
6430548M08Rik,1.4253505706787108,1.85104358792305
8030451A03Rik,0.33799197286367416,0.37945333957672117
9530034E10Rik,1.6212643241882325,1.5591013062000274
9530059O14Rik,0.20980190649628638,0.22121355384588243
A330048O09Rik,0.18950965479016305,0.1707509344816208
A430035B10Rik,2.0093337738513948,1.5769322752952575
A730046J19Rik,2.129462411403656,2.2283980298042296
A830010M20Rik,1.3916379261016845,1.2340698373317718
AC034116.4,0.31363126903772354,0.26537456646561625
AC078895.1,3.451650574207306,3.5284558749198913
AC121960.2,1.209241681098938,1.4118432700634003
AC126030.1,0.32949147671461104,0.4094804573059082
AC149090.1,1.1681407964229584,1.2734117686748505
Abca5,2.2497697687149047,2.474260778427124
Abcc1,1.6284253466129304,1.866268631219864
Abcd2,1.834975185394287,1.980333675146103
Abcg1,1.1620708644390105,1.3385564613342285
Abhd16a,3.0253550696372984,3.1886550045013426
Abhd17a,2.2747024130821227,2.3707111620903016
Abhd3,1.5858671391010284,1.6443974792957305
Acbd6,1.3256016981601715,1.366161333322525
Acbd7,4.226049432754516,3.9877925372123717
Ache,0.09639276333153247,0.13860565803945066
Acp2,1.3947419953346252,1.4412316215038299
Acsl6,3.2401144552230834,3.393874566555023
Acsm4,3.930360560417175,4.177363419532776
Acss1,1.2068796336650849,1.3167155086994171
Acss2,1.4945903980731965,1.7351588809490204
Acss3,0.5389859503507615,0.5825576055049896
Actb,9.541442575454711,9.00158896446228
Actg1,0.848997055888176,0.6098635768890381
Actr3b,1.040821670293808,1.004245062470436
Adam22,1.0679917025566101,1.2366181373596192
Adam28,2.2324224495887757,2.0020274555683137
Adamdec1,0.517293102145195,0.5567015552520752
Adcy3,5.492101125717163,5.716476135253906
Adgb,0.3723123529553413,0.37031428098678587
Adgrb2,0.4140165689587593,0.4438009265065193
Adgrb3,0.5792993992567063,0.6773992168903351
Adgrl1,1.010725763440132,1.2581080377101899
Adgrv1,0.2858109346032143,0.33109348982572556
Adh5,2.1248765325546266,2.0149132871627806
Adipor1,3.868050465583801,4.1993964529037475
Afap1,0.9840692418813706,1.1175072145462037
Afap1l2,0.076195118278265,0.06842100851237774
Aff3,0.825377699136734,0.8234216016530991
Agpat3,1.8542210423946381,2.0790801072120666
Agpat4,1.46447744846344,1.343981407880783
Agpat5,0.5506636595726013,0.7050930172204971
Agr3,0.2785879775881767,0.22197054371237754
Agtpbp1,2.152130169868469,2.348768298625946
Ahcyl1,1.5463724899291993,1.7471151757240295
Ahcyl2,1.1725975334644319,1.3380171358585358
Aig1,2.6078857517242433,2.7225726437568665
Ak1,3.935097930431366,4.379935851097107
Ak2,1.0766179430484772,1.0879547142982482
Akt2,0.76886738717556,0.7987676197290421
